Week,2024 Cases,2023 Cases,Alert Threshold,Epidemic Threshold
1,18.0,1.0,19.0,20.0
2,5.0,3.0,21.333333333333336,22.333333333333336
3,0.0,0.0,20.666666666666664,22.666666666666664
4,0.6666666666666679,0.0,17.0,18.0
5,0.0,0.0,11.333333333333332,12.333333333333332
6,6.0,6.0,9.666666666666668,11.666666666666668
7,6.666666666666668,6.666666666666668,9.0,12.0
8,4.0,4.0,15.333333333333332,17.333333333333332
9,0.0,0.0,14.666666666666668,15.666666666666668
10,4.666666666666666,4.666666666666666,15.0,18.0
11,3.0,2.0,7.333333333333334,10.333333333333334
12,0.0,0.0,9.666666666666666,11.666666666666666
13,0.0,0.0,10.0,12.0
14,0.0,0.0,6.333333333333334,8.333333333333334
15,0.0,0.0,8.666666666666666,9.666666666666666
16,4.333333333333334,2.333333333333334,6.0,7.0
17,6.0,6.0,7.666666666666666,9.666666666666666
18,2.6666666666666643,1.6666666666666643,12.333333333333334,13.333333333333334
19,0.0,0.0,11.0,14.0
20,0.0,2.0,15.666666666666664,16.666666666666664
21,0.0,0.6666666666666679,8.333333333333334,9.333333333333334
22,0.0,6.333333333333332,14.0,16.0
23,0.0,11.0,7.666666666666668,9.666666666666668
24,0.0,12.666666666666668,13.333333333333332,16.333333333333332
25,0.0,4.333333333333332,19.0,20.0
26,0.0,5.0,19.666666666666668,20.666666666666668
27,0.0,10.666666666666664,17.333333333333332,19.333333333333332
28,0.0,3.3333333333333357,16.0,19.0
29,0.0,7.0,19.666666666666664,22.666666666666664
30,0.0,5.333333333333336,13.333333333333336,15.333333333333336
