Facility Code,Facility Name,Health Facility Type,Ownership Major Classification,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Latitude,Longitude
DOH000000000000992,BONUAN BOQUIG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,CITY OF DAGUPAN,0105518000,BONUAN BOQUIG,0105518008,16.076203,120.356446
DOH000000000000986,BINALAY BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,MALASIQUI,0105524000,BINALAY,0105524017,15.907353,120.429621
DOH000000000000981,BIEC BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,BINMALEY,0105513000,BIEC,0105513007,16.020957,120.273209
DOH000000000000978,BERSAMIN BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,ALCALA,010550400,BERSAMIN,0105504004,15.814972,120.554021
DOH000000000000976,BAYBAY LOPEZ BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,BINMALEY,0105513000,BAYBAY LOPEZ,0105513005,16.037392,120.257554
DOH000000000000975,BAYAOAS BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,URBIZTONDO,0105545000,BAYAOAS,0105545005,15.8329176,120.3534821
DOH000000000000971,BATCHELOR WEST BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,NATIVIDAD,010552900,BATCHELOR WEST,0105529004,16.050401,120.814564
DOH000000000000962,BANZAL BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,SANTA BARBARA,0105538000,BANZAL,0105538004,16.007936,120.437736
DOH000000000000960,BANAOANG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,SANTA BARBARA,0105538000,BANAOANG,0105538003,15.990459,120.436531
DOH000000000000958,BALINGASAY BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,BOLINAO,0105514000,BALINGASAY,0105514002,16.357704,119.860255
DOH000000000000955,BALANGOBONG BARANGAY HEALTH STATION,Barangay Health Station,Government,REGION I (ILOCOS REGION),0100000000,PANGASINAN,0105500000,BINALONAN,0105512000,BALANGOBONG,0105512001,16.0158615,120.5991898
